23:13:45.580  +61:28:18.02 | NGC  7538A, SH  2-158 A
23:13:43.105  +61:28:13.68 | NGC  7538C, NGC  7538C
23:13:37  +61:30.0 | NGC  7538, NGC  7538
00:31:12  +63:22.0 | NGC   133, NGC   133
00:33.1  +63:18 | NGC   146, NGC   146
00:43:39  +61:46.5 | NGC   225, NGC   225
01:08:19.9  +61:35:02 | NGC   381, NGC   381
01:06:32  +62:13.4 | NGC   366, NGC   366
01:33:23  +60:39.0 | M 103, NGC   581, M 103
01:44.4  +60:40 | NGC   659, NGC   659
01:47:00.210  +61:21:23.68 | NGC   663   194, GSC 04032-02521, TYC 4032-2521-1, V* V831 Cas
01:44:00  +61:53.1 | NGC   654, NGC   654
01:46:09  +61:14.1 | NGC   663, NGC   663
01:45:56.608  +61:05:23.73 | NGC   663   214, NGC   663   214
01:58:37  +60:09.4 | NGC   743, NGC   743
01:47.5  +59:47 | IC  155, IC  155
02:19:56.13151  +57:19:05.1186 | NGC   869  1482, HD  14210, HIP  10873, SAO  23200, GSC 03694-01539, TYC 3694-1539-1, PPM  27455, SAO  23200, HD  14210
02:22:43.561  +57:05:12.34 | NGC   884  2541, HD  14520, SAO  23258, PPM  27534, SAO  23258, IDS 02156+5638 AB
02:19:00  +57:07.7 | NAME h Persei Cluster, NAME h Per Cluster, NGC   869, NGC   869
02:33:21  +57:33.6 | NGC   957, NGC   957
02:24:01.500  +57:17:24.13 | NGC   884  2907, GSC 03694-01557, TYC 3694-1557-1, BD+56   603
02:22:23  +57:07.5 | NAME khi Per Cluster, NAME chi Persei Cluster, NAME chi Per Cluster, NGC   884, NGC   884
03:11:41  +53:20.8 | NGC  1220, NGC  1220
03:33:51.7  +51:26:09 | NGC  1348, NGC  1348
21:53:40  +62:36.2 | NGC  7160, NGC  7160
00:01:08.58  +67:25:17.0 | NGC  7822, NGC  7822
01:29:31  +63:18.1 | NGC   559, NGC   559
01:36:23  +64:32.1 | NGC   609, NGC   609
01:57:35.734  +63:19:18.33 | IC 1747, HD  11758, IC 1747
01:43:04  +64:02.4 | NGC   637, NGC   637
01:52:23  +61:51.9 | IC  166, IC  166
02:25:43.5  +62:06:13 | IC 1795, IC 1795
02:25.8  +61:59 | NGC   896, NGC   896
02:29:02.16  +61:33:32.4 | IC 1805W, IRAS 02252+6120
02:26.9  +62:04 | IC 1795a, IC 1795a
02:26.9  +62:04 | IC 1795b, IC 1795b
02:26.9  +62:04 | IC 1795c, IC 1795c
02:32:42  +61:27.0 | NAME AFGL 333 CLOUD, IC 1805, IC 1805
02:51:07.97514  +60:25:03.8720 | IC 1848    1, HD  17505, HIP  13296, SAO  12470, GSC 04047-02870, PPM  13906, SAO  12470, HD  17505
02:51:14.45895  +60:23:09.8185 | IC 1848    2, HD  17520, HIP  13308, GSC 04047-02680, TYC 4047-2680-1, PPM  13908, HD  17520
02:51:06  +60:24.6 | IC 1848, IC 1848
02:51.7  +58:19 | IC 1851, IC 1851
19:37:17  +46:23.3 | NGC  6811, NGC  6811
19:49:46.58  +48:57:40.2 | NGC  6833, HD 187836, NGC  6833
19:44:48.1501  +50:31:30.264 | NAME BLINKING PLANETARY, NGC  6826, HD 186924, SAO  31951, GSC 03565-00205, TYC 3565-205-1, PPM  37732, SAO  31951, NGC  6826
20:23:33.061  +58:20:38.60 | NGC  6916, NGC  6916
20:34:52.332  +60:09:13.24 | NGC  6946, NGC  6946
21:26:23.540  +62:53:31.83 | NGC  7076, NGC  7076
21:46:08.586  +63:47:29.45 | NGC  7139, NGC  7139
21:45:10.0  +65:46:18 | NGC  7142, NGC  7142
21:42:56  +66:06.2 | NAME NGC 7129 IR CLUSTER, NGC  7129, NGC  7129
21:44:26.700  +66:10:06.00 | NGC  7133, NGC  7133
23:49:52  +68:01.5 | NGC  7762, NGC  7762
02:23.5  +63:46 | NGC   886, NGC   886
02:42:43  +61:38.0 | NGC  1027, NGC  1027
02:42:56.1603  +61:36:47.765 | NGC  1027   101, GSC 04047-00323, TYC 4047-323-1, BD+60   551
02:44  +63.0 | IC 1831, IC 1831
03:10:19.30  +61:19:01.0 | IC  289, IC  289
03:03  +60.4 | IC 1871, IC 1871
03:01:32  +60:29.2 | NAME W 5 EAST, NAME AFGL 4029 CLUSTER, NAME IRAS 02575+6017 CLUSTER, NAME SFO 14 IR CLUSTER, IC 1848A, NAME W 5 EAST
03:49:24  +52:38.4 | NGC  1444, NGC  1444
04:03:15.9  +51:18:54 | NGC  1491, NGC  1491
04:04:32.0  +52:39:42 | NGC  1496, NGC  1496
04:10.6  +49:31 | NGC  1513, NGC  1513
04:34:55  +45:16.5 | NGC  1605, NGC  1605
04:32:15.4  +43:50:43 | NGC  1582, NGC  1582
19:16:47.629  +46:01:01.87 | NGC  6783, NGC  6783
19:26:31.978  +50:07:30.89 | IC 4867, IC 4867
19:26:37.398  +49:45:30.12 | IC 1301, IC 1301
20:31:30  +60:39.7 | NGC  6939, NGC  6939
00:27:25  +71:25.3 | NGC   110, NGC   110
00:13:01.01014  +72:31:19.0944 | NGC    40, HD    826, HIP   1041, GSC 04302-01297, TYC 4302-1297-1, NGC    40
04:15:09.75016  +51:14:49.0455 | NGC  1528     2, HD 232923, HIP  19833, SAO  24501, GSC 03340-00288, TYC 3340-288-1, PPM  29018, SAO  24501, HD 232923
04:15:23  +51:12.9 | NGC  1528, NGC  1528
04:21:45.47510  +50:02:06.6444 | NGC  1545    98, HD  27395, HIP  20370, SAO  39484, GSC 03337-00897, TYC 3337-897-1, PPM  29092, SAO  39484, HD  27395
04:20:57  +50:15.2 | NGC  1545, NGC  1545
19:24:03.193  +53:37:29.11 | NGC  6798, IC 1300, NGC  6798
19:43:40.671  +56:06:34.00 | NGC  6824, NGC  6824
19:27:35.793  +54:22:22.46 | NGC  6801, NGC  6801
19:47:57.334  +59:53:33.30 | NGC  6831, NGC  6831
19:47:07.566  +59:54:25.55 | NGC  6829, NGC  6829
20:35:06.929  +64:48:10.06 | NGC  6949, NGC  6949
20:37:14.077  +66:06:20.32 | NGC  6951, NGC  6952, NGC  6951
21:01:36.9  +68:09:48 | NGC  7023, NGC  7023
23:36:20.728  +75:38:53.49 | IC 1502, IC 1502
04:06:59.39  +60:55:14.4 | NGC  1501, NGC  1501
04:18:58  +58:15.0 | IC  361, IC  361
04:40:36.0  +50:27:42 | NGC  1624, NGC  1624
18:47:18.845  +45:33:02.33 | NGC  6703, NGC  6703
18:59:20.030  +48:27:55.24 | NGC  6742, NGC  6742
19:06:57.070  +50:20:52.50 | NGC  6759, NGC  6759
19:08:16.348  +50:55:59.14 | NGC  6764, NGC  6764
19:37:23.342  +62:23:01.02 | NGC  6817, NGC  6817
19:41:54.880  +64:04:16.01 | NGC  6825, NGC  6825
20:00:42.414  +66:13:39.25 | NGC  6869, NGC  6869
20:19:38.342  +66:43:42.11 | NGC  6911, NGC  6911
03:46:48.514  +68:05:45.98 | IC  342, IC  342
04:08:27.82780  +62:24:23.7110 | NGC  1502    61, HIP  19321, GSC 04068-01228, TYC 4068-1228-1, PPM  14670, BD+62   655
04:07:51.39695  +62:19:48.1966 | NGC  1502     1, NGC  1502A, HD  25639, HIP  19272, SAO  13031, GSC 04068-01652, TYC 4068-1652-1, PPM  14662, SAO  13031, HR  1260
04:07:50  +62:19.9 | NGC  1502, NGC  1502
04:06:43.070  +62:20:40.11 | NGC  1502    59, HD  25498, SAO  13022, GSC 04068-01436, TYC 4068-1436-1, PPM  14650, SAO  13022, HD  25498
05:03:23  +49:29.4 | NGC  1724, NGC  1724
18:46:57.576  +45:42:20.56 | NGC  6702, NGC  6702
18:49:00.850  +47:39:29.38 | NGC  6711, NGC  6711
18:56:24.031  +52:22:39.48 | NGC  6732, NGC  6732
19:05:06.30  +55:43:02.2 | NGC  6757, NGC  6757
19:16:10.576  +60:25:02.86 | NGC  6787, NGC  6787
19:00:36.079  +59:10:00.16 | NGC  6750, NGC  6750
19:21:30.813  +61:08:41.40 | NGC  6796, NGC  6797, NGC  6796
19:16:41.169  +63:58:23.90 | NGC  6789, NGC  6789
22:42:24.997  +80:26:31.96 | IC 1454, IC 1454
03:37:49.659  +72:34:16.81 | NGC  1343, NGC  1343
04:05:03.984  +70:59:47.64 | NGC  1485, NGC  1485
04:00:27.741  +68:34:39.85 | NGC  1469, NGC  1469
